a property,material a,b property,material b,c property,material c,d property,material d,transform,application,texture,final property,
plant,timber,bioresin,bioresin,,,,,mix,furniture,hard,paint,
animal,leather,bioresin,natural bone glue,,,,,heat,furniture,hard,material,
mineral,stone,plastic,plastic,,,,,mix,construction,hard,rock,
plant,plantain waste,metal,aluminium waste,food,coffee,,,mix,material,hard,material,
plastic,sls print waste,chemical,silica sand,,,,,heat,furniture,hard,material,
paper,newspaper,chemical,glue,,,,,compress,construction,hard,wood,
metal,electronic (aluminium),,,,,,,knit,textile,soft,textile,
plastic,plastic,,,,,,,heat,material,hard,bioplastic,
plastic,plastic bottle,,,,,,,heat,mechanism,hard,bioplastic,
plant,pine needles,,,,,,,compress,furniture,soft,textile,
plant,pinus pinaster,chemical,cellulose,algae,lignin,plant,rosin,heat,resin,hard,material,
plant,willow branches,water,water,,,,,heat,pigment,hard,paint,
algae,seaweed,,,,,,,heat,dye,soft,paint,
algae,seaweed,,,,,,,dry,furniture,soft,paint,
algae,bull kelp,,,,,,,dry,textile,flexible,textile,
plant,corn husk,plant,charcoal,,,,,heat,material,hard,material,
animal,sheep wool,bioresin,bioresin,,,,,heat,furniture,hard,furniture,
animal,black propolis,insect,cocoon,insect,natural bee resin,insect,sikworm,heat,resin,hard,glass,
animal,cow dung,mineral,clay,plant,straw,,,mix,material,hard,rock,
human,manure ,chemical,cellulose,,,,,grow,textile,soft,bioplastic,
human,hair,chemical,resin,,,,,knit,textile,soft,textile,
human,hair,,,,,,,compress,material,hard,furniture,
human,hair,metal,aluminium ,,,,,heat,pigment,hard,paint,
dust,dust,,,,,,,grow,pigment,hard,coating,
dust,dust,bioresin,bio-resin,,,,,compress,material,hard,coating,
dust,dust,chemical,glue,,,,,compress,furniture,hard,coating,
glass,glass waste,mineral,cement,,,,,mix,material,hard,rock,
seafood,mussel shell,,,,,,,mix,material,hard,material,
plant,wheat,plant,rye straw,,,,,knit,textile,soft,textile,
algae,agar,,,,,,,heat,material,soft,bioplastic,
plant,pine fibre,,,,,,,heat,textile,soft,cooking method,
plant,plant-based lyocell,,,,,,,heat,textile,soft,textile,
chemical,phenolic resin,plastic,thermosetting plastic,,,,,heat,material,hard,bioplastic,
plant,plant,textile,textile,,,,,heat,material,hard,bioplastic,
plant,flax,starch,pla,,,,,heat,furniture,hard,bioplastic,
fungi,mycelium,,,,,,,grow,textile,flexible,leather,
fungi,mycelium,,,,,,,grow,material,hard,bioplastic,
fungi,mycelium,,,,,,,heat,textile,soft,coating,
fungi,mycelium,water,water,,,,,grow,furniture,hard,material,
plant,cellulose,fungi,bacteria,,,,,grow,pattern,hard,coating,
food,oat,plant,wheat,,,,,mix,composite,hard,material,
plastic,plastic,textile,textile,glass,glass,,,compress,furniture,hard,rock,
plastic,plastic waste,mineral,stone,,,,,mix,furniture,hard,rock,
food,coffee ground,vinegar,vinegar,glycerin,glycerin,water,water,mix,composite,hard,material,
algae,carrageenan iota,glycerin,glycerin,water,water,,,heat,composite,hard,material,
food,eggshell,vinegar,vinegar,chemical,alginate,water,water,heat,composite,flexible,material,
algae,agar agar,glycerin,glycerin,water,water,starch,starch,heat,bioplastic,flexible,bioplastic,
seafood,chitosan,glycerin,glycerin,vinegar,vinegar,water,water,grow,bioplastic,hard,bioplastic,
food,green tea,food,sugar,chemical,sodium bicarbonate,water,water,grow,textile,soft,textile,
algae,agar agar,glycerin,glycerin,starch,starch,plant,cork,heat,composite,hard,material,
algae,agar agar,glycerin,glycerin,water,water,,,heat,bioplastic,soft,bioplastic,
algae,agar agar,glycerin,glycerin,food,gelatin,water,water,heat,bioplastic,soft,bioplastic,
algae,agar agar,glycerin,glycerin,water,water,,,heat,material,soft,bioplastic,
glycerin,glycerin,food,gelatin,water,water,,,heat,bioplastic,hard,bioplastic,
glycerin,glycerin,food,gelatin ,water,water,mineral,red ochre,heat,textile,hard,leather,
seafood,fish skin,vinegar,vinegar ,,,,,heat,material,soft,bioplastic,
algae,red algae,,,,,,,heat,bioplastic,soft,bioplastic,
animal,animal bone,,,,,,,heat,glue,soft,bioresin,
starch,starch,glycerin,glycerin,vinegar,vinegar,water,water,heat,bioplastic,flexible,bioplastic,
starch,starch,glycerin,glycerin,vinegar,vinegar,oil,oil,heat,bioplastic,flexible,bioplastic,
food,banana peel ,vinegar,vinegar,food,honey,,,heat,bioplastic,soft,bioplastic,
food,orange peel,starch,starch,chemical,sodium bicarbonate,vinegar,lemon juice,heat,bioplastic,hard,bioplastic,
food,coffee ground,starch,starch,chemical,sodium bicarbonate,vinegar,vinegar,heat,bioplastic,hard,bioplastic,
food,watermelon peel,starch,starch,food,honey,vinegar,lemon juice,heat,bioplastic,soft,bioplastic,
food,banana peel,glycerin,glycerin,vinegar,vinegar,chemical,baking soda,heat,bioplastic,hard,bioplastic,
food,tea waste,starch,starch,vinegar,vinegar,food,honey,heat,bioplastic,hard,bioplastic,
food,grapes peel,starch,starch,vinegar,lemon juice,food,honey,heat,bioplastic,hard,bioplastic,
food,coffee ground,starch,starch,vinegar,vinegar,glycerin,glycerin,heat,bioplastic,hard,bioplastic,
food,nutshell,food,coffee ground,algae,agar,glycerin,glycerin,heat,bioplastic,hard,bioplastic,
starch,starch,glycerin,glycerin,vinegar,vinegar,,,heat,bioplastic,flexible,bioplastic,
starch,starch,food,oil,water,water,,,heat,bioplastic,soft,bioplastic,
starch,starch,vinegar,vinegar,glycerin,glycerin,algae,agar,heat,bioplastic,hard,bioplastic,
starch,starch,chemical,flour,vinegar,vinegar,glycerin,glycerin,heat,bioplastic,hard,bioplastic,
seafood,fish,,,,,,,heat,glue,soft,bioresin,
plant,pine pitch,,,,,,,heat,glue,soft,bioresin,
starch,starch,glycerin,glycerin,vinegar,vinegar,water,water,heat,bioplastic,soft,bioplastic,
plastic,plastic,,,,,,,heat,composite,hard,material,
food,grape,glycerin,glycerin,algae,agar agar,,,heat,bioplastic,hard,bioplastic,
food,nutshell,fungi,mycelium,flour,flour,,,heat,composite,hard,material,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
